Q2	x	z	ALL_lower	ALL	ALL_upper
1.000000000000000000e+00	1.000000000000000048e-04	2.500000000000000000e-01	-1.303900000000000024e-02	-5.889600000000000043e-03	-2.424700000000000119e-03
1.049900000000000055e+00	1.000000000000000048e-04	2.500000000000000000e-01	-1.241599999999999995e-02	-5.639400000000000142e-03	-2.411799999999999968e-03
1.866900000000000004e+00	1.000000000000000048e-04	2.500000000000000000e-01	-7.816599999999999937e-03	-3.265999999999999806e-03	-1.488200000000000070e-03
3.319900000000000073e+00	1.000000000000000048e-04	2.500000000000000000e-01	-6.681399999999999666e-03	-3.077700000000000054e-03	-1.004600000000000024e-03
5.903800000000000381e+00	1.000000000000000048e-04	2.500000000000000000e-01	-6.057599999999999790e-03	-2.747100000000000149e-03	-1.370499999999999973e-04
1.049900000000000055e+01	1.000000000000000048e-04	2.500000000000000000e-01	-4.954300000000000023e-03	-2.764400000000000190e-03	-1.964599999999999994e-04
1.866900000000000048e+01	1.000000000000000048e-04	2.500000000000000000e-01	-4.508100000000000128e-03	-2.380399999999999964e-03	-2.417700000000000112e-04
3.319899999999999807e+01	1.000000000000000048e-04	2.500000000000000000e-01	-4.671100000000000078e-03	-2.056899999999999961e-03	-2.736899999999999901e-04
5.903799999999999670e+01	1.000000000000000048e-04	2.500000000000000000e-01	-4.698800000000000372e-03	-1.809300000000000014e-03	-2.960199999999999746e-04
1.049899999999999949e+02	1.000000000000000048e-04	2.500000000000000000e-01	-4.695900000000000248e-03	-1.657599999999999959e-03	-3.124399999999999834e-04
1.866899999999999977e+02	1.000000000000000048e-04	2.500000000000000000e-01	-4.503000000000000058e-03	-1.538400000000000097e-03	-3.239900000000000202e-04
3.319900000000000091e+02	1.000000000000000048e-04	2.500000000000000000e-01	-4.334400000000000405e-03	-1.458099999999999934e-03	-3.319800000000000030e-04
5.903799999999999955e+02	1.000000000000000048e-04	2.500000000000000000e-01	-4.186999999999999750e-03	-1.389599999999999950e-03	-3.370399999999999850e-04
1.049900000000000091e+03	1.000000000000000048e-04	2.500000000000000000e-01	-4.054499999999999944e-03	-1.330100000000000076e-03	-3.398100000000000144e-04
1.866900000000000091e+03	1.000000000000000048e-04	2.500000000000000000e-01	-3.956300000000000268e-03	-1.278499999999999906e-03	-3.411500000000000253e-04
